"id";"mark";"year";"period_of_production";"model";"version";"energy";"url_photo";"category";"color";"color_name";"maker";"material_number";"date_of_purchase";"price";"currency";"dealer";"scale";"comment"
161;"CitroÃ«n";2004;"2004-2010";"C4 Berline";"1";"Thermique";"citroen_c4_berline.jpg";"C";"Black";"Noir Obsidien";"Norev";"AMC 008 670";"2005-01-05";21.0;"EUR";"Garage CitroÃ«n VÃ©nissieux";"43";""
162;"CitroÃ«n";2004;"2004-2010";"C4 CoupÃ©";"1";"Thermique";"citroen_c4_coupe.jpg";"C";"Red";"Rouge Lucifer";"Norev";"AMC 008 668";"2005-01-05";21.0;"EUR";"Garage CitroÃ«n VÃ©nissieux";"43";""
163;"Renault";2003;"2003-2009";"Grand Scenic II";"2";"Thermique";"renault_scenic_2_grand.jpg";"M1+";"Blue";"Bleu Encre (F43)";"Universal Hobbies";"77 11 225 838";"2005-01-14";23.0;"EUR";"Renault Abroise ParÃ©, Lyon";"43";""
164;"Peugeot";1986;"1986-1993";"205 GTI 1,9";"1";"Thermique";"peugeot_205_gti_19.jpg";"B";"Black";"Noir";"Norev";"9658.E3";"2005-01-28";26.0;"EUR";"Peugeot Transvaal";"43";""
165;"BMW";2003;"2003-2010";"6 Cabriolet (E64)";"2";"Thermique";"bmw_6_cabrio_e64.jpg";"F";"Blue";"Atlantic Blue Metallic";"Kyosho";"80 42 0 153 436";"2005-02-27";25.0;"EUR";"MusÃ©e BMW de Munich";"43";""
166;"BMW";2004;"2004-2013";"120i (E87)";"1";"Thermique";"bmw_1.jpg";"C";"Blue";"Quartzblau Metallic";"Auto Art";"80 42 0 308 606";"2005-02-27";25.0;"EUR";"MusÃ©e BMW de Munich";"43";""
167;"BMW";2003;"2003-2010";"5 Touring (E60)";"5";"Thermique";"bmw_5_touring_e60.jpg";"E";"Blue";"Mysticblau";"Kyosho";"80 42 0 308 417";"2005-03-04";25.0;"EUR";"Boutique BMW aÃ©roport de Munich";"43";""
168;"BMW";2001;"2001-2008";"7 (E65)";"4";"Thermique";"bmw_7_e65.jpg";"F";"Silver";"Titansilber Metallic";"Minichamps";"80 42 0 305 163";"2005-03-04";25.0;"EUR";"Boutique BMW aÃ©roport de Munich";"43";""
169;"Peugeot";1988;"1988-1992";"205 Rallye";"1";"Thermique";"peugeot_205_rallye.jpg";"B";"White";"Blanc";"Norev";"9658.ES";"2005-03-07";34.0;"EUR";"Peugeot Transvaal";"43";""
170;"BMW";2000;"2000-2004";"325ti Compact (E46/5)";"4";"Thermique";"bmw_325ti_compact.jpg";"D";"Red";"Flamenco rot metallic";"Minichamps";"80 42 0 024 437";"2005-03-15";25.0;"EUR";"Boutique BMW aÃ©roport de Munich";"43";""
